scenario_id,variant,scenario_type,difficulty,memory_dependency,context_dependency,ndcg_at_5,precision_at_5,mean_graded_relevance,hcsr,mean_violation_count,unknown_hard_rate,expired_rate,trace_completeness,grounding,handoff_success,decision_log_completeness,turn_count,response_turns,total_latency_ms,task_success,partial_task_score,grounded_claim_count,clarification_efficiency
SC-A-01,full,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,21.121,1.0,1.0,28.0,-1.0
SC-A-01,no_context,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,25.605,1.0,1.0,28.0,-1.0
SC-A-01,no_memory,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16.449,1.0,1.0,28.0,-1.0
SC-A-01,one_shot,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16.905,1.0,1.0,28.0,-1.0
SC-A-01,profile_only,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,18.18,1.0,1.0,22.0,-1.0
SC-A-02,full,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,17.922,1.0,1.0,22.0,-1.0
SC-A-02,no_context,complete,easy,none,medium,0.7860137352654724,0.8,2.4,0.8,0.2,0.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,23.097,0.0,0.75,21.0,-1.0
SC-A-02,no_memory,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,18.29,1.0,1.0,22.0,-1.0
SC-A-02,one_shot,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,17.629,1.0,1.0,22.0,-1.0
SC-A-02,profile_only,complete,easy,none,medium,0.8687949224876581,0.8,2.4,0.8,0.2,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,19.785,0.0,0.75,19.0,-1.0
SC-A-03,full,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16.805,1.0,1.0,28.0,-1.0
SC-A-03,no_context,complete,easy,none,medium,0.8687949224876581,0.8,2.4,0.8,0.2,0.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,22.97,0.0,0.75,28.0,-1.0
SC-A-03,no_memory,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,17.099,1.0,1.0,28.0,-1.0
SC-A-03,one_shot,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16.8,1.0,1.0,28.0,-1.0
SC-A-03,profile_only,complete,easy,none,medium,0.6843515475204854,0.6,1.8,0.6,0.4,0.1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,20.58,0.0,0.75,20.0,-1.0
SC-A-04,full,complete,medium,none,medium,0.8415580415114009,1.0,2.6,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,19.438,1.0,1.0,24.0,-1.0
