run_id,claim_id,claim_type,validator,rater_1,rater_2,adjudicated,notes
run-3bc774785482297a,claim-db58e68a276f73f2,candidate_preference,1,,,,
run-3bc774785482297a,claim-f823f2e2786f5df2,candidate_preference,1,,,,
run-3bc774785482297a,claim-e101664b3ad6aaa0,candidate_preference,1,,,,
run-3bc774785482297a,claim-c4877a5cc7a9f05f,ranking_reason,1,,,,
run-3bc774785482297a,claim-afe921d2dea545a4,ranking_reason,1,,,,
run-3bc774785482297a,claim-55bbdd72e15ddbd2,ranking_reason,1,,,,
run-3bc774785482297a,claim-39473ea2ca61fe49,ranking_reason,1,,,,
run-3bc774785482297a,claim-addeb18eef12d66f,skill_gap,1,,,,
run-3bc774785482297a,claim-b7ff2fb4dcd929f3,ranking_reason,1,,,,
run-3bc774785482297a,claim-6835dd660940a973,ranking_reason,1,,,,
run-3bc774785482297a,claim-7803ebeefceccf40,ranking_reason,1,,,,
run-3bc774785482297a,claim-bee3b25a4888ad75,ranking_reason,1,,,,
run-3bc774785482297a,claim-15ec35b6385e963c,skill_gap,1,,,,
run-3bc774785482297a,claim-2c8b41a54a0fe323,ranking_reason,1,,,,
run-3bc774785482297a,claim-d2d73c1e6b916eb2,ranking_reason,1,,,,
run-3bc774785482297a,claim-b9d94b94e9e97f3b,ranking_reason,1,,,,
run-3bc774785482297a,claim-b8b94ef16903cd53,ranking_reason,1,,,,
run-3bc774785482297a,claim-32707df50775b05b,skill_gap,1,,,,
run-3bc774785482297a,claim-8722749428a58b51,ranking_reason,1,,,,
run-3bc774785482297a,claim-a2629b870c884acf,ranking_reason,1,,,,
run-3bc774785482297a,claim-63769fa40bf6f326,ranking_reason,1,,,,
run-3bc774785482297a,claim-26b121ce1a076eb9,ranking_reason,1,,,,
run-3bc774785482297a,claim-83175074efc3ac0c,skill_gap,1,,,,
run-3bc774785482297a,claim-888dd8e65ebd1e0c,ranking_reason,1,,,,
run-3bc774785482297a,claim-1f5aa82c73817981,ranking_reason,1,,,,
run-3bc774785482297a,claim-d101143515cd53aa,ranking_reason,1,,,,
run-3bc774785482297a,claim-53a8e419107df166,ranking_reason,1,,,,
run-3bc774785482297a,claim-c2d68998cb2480b0,skill_gap,1,,,,
run-49e6c68a3160a194,claim-fcce8c2df25b909b,candidate_preference,1,,,,
run-49e6c68a3160a194,claim-f823f2e2786f5df2,candidate_preference,1,,,,
run-49e6c68a3160a194,claim-e101664b3ad6aaa0,candidate_preference,1,,,,
run-49e6c68a3160a194,claim-9366932dfd4e007f,ranking_reason,1,,,,
run-49e6c68a3160a194,claim-6536571af47d329f,ranking_reason,1,,,,
